Kategorie: Všechny kategorie

Měsíc,Tesla: (Spojené státy)
2010-06,5
2010-07,5
2010-08,3
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,4
2011-02,4
2011-03,4
2011-04,4
2011-05,3
2011-06,4
2011-07,4
2011-08,3
2011-09,3
2011-10,4
2011-11,4
2011-12,4
2012-01,4
2012-02,6
2012-03,4
2012-04,4
2012-05,5
2012-06,5
2012-07,5
2012-08,5
2012-09,5
2012-10,5
2012-11,8
2012-12,6
2013-01,6
2013-02,8
2013-03,8
2013-04,9
2013-05,15
2013-06,12
2013-07,12
2013-08,17
2013-09,12
2013-10,12
2013-11,13
2013-12,9
2014-01,9
2014-02,12
2014-03,13
2014-04,12
2014-05,14
2014-06,12
2014-07,14
2014-08,12
2014-09,11
2014-10,14
2014-11,10
2014-12,10
2015-01,12
2015-02,12
2015-03,12
2015-04,13
2015-05,17
2015-06,13
2015-07,14
2015-08,16
2015-09,16
2015-10,16
2015-11,12
2015-12,11
2016-01,13
2016-02,15
2016-03,16
2016-04,34
2016-05,17
2016-06,15
2016-07,18
2016-08,14
2016-09,15
2016-10,17
2016-11,15
2016-12,14
2017-01,15
2017-02,16
2017-03,16
2017-04,19
2017-05,19
2017-06,19
2017-07,30
2017-08,23
2017-09,19
2017-10,19
2017-11,31
2017-12,22
2018-01,21
2018-02,27
2018-03,21
2018-04,22
2018-05,24
2018-06,23
2018-07,25
2018-08,29
2018-09,29
2018-10,29
2018-11,23
2018-12,25
2019-01,24
2019-02,24
2019-03,35
2019-04,30
2019-05,31
2019-06,31
2019-07,32
2019-08,27
2019-09,28
2019-10,31
2019-11,65
2019-12,34
2020-01,36
2020-02,47
2020-03,33
2020-04,25
2020-05,30
2020-06,34
2020-07,48
2020-08,47
2020-09,57
2020-10,41
2020-11,37
2020-12,46
2021-01,53
2021-02,52
2021-03,47
2021-04,48
2021-05,47
2021-06,42
2021-07,39
2021-08,41
2021-09,37
2021-10,46
2021-11,50
2021-12,46
2022-01,46
2022-02,45
2022-03,56
2022-04,53
2022-05,51
2022-06,54
2022-07,44
2022-08,47
2022-09,38
2022-10,40
2022-11,37
2022-12,46
2023-01,55
2023-02,52
2023-03,45
2023-04,48
2023-05,42
2023-06,51
2023-07,53
2023-08,43
2023-09,48
2023-10,44
2023-11,41
2023-12,50
2024-01,45
2024-02,42
2024-03,47
2024-04,57
2024-05,52
2024-06,51
2024-07,51
2024-08,46
2024-09,42
2024-10,52
2024-11,53
2024-12,54
2025-01,51
2025-02,51
2025-03,100
2025-04,73
2025-05,53
