Kategorie: Všechny kategorie

Měsíc,tsla: (Spojené státy)
2010-06,3
2010-07,3
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,< 1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,2
2013-03,2
2013-04,3
2013-05,14
2013-06,9
2013-07,11
2013-08,17
2013-09,12
2013-10,16
2013-11,18
2013-12,12
2014-01,10
2014-02,20
2014-03,14
2014-04,11
2014-05,12
2014-06,10
2014-07,9
2014-08,10
2014-09,11
2014-10,10
2014-11,8
2014-12,7
2015-01,7
2015-02,9
2015-03,8
2015-04,10
2015-05,10
2015-06,7
2015-07,8
2015-08,10
2015-09,7
2015-10,8
2015-11,7
2015-12,4
2016-01,6
2016-02,11
2016-03,10
2016-04,14
2016-05,10
2016-06,10
2016-07,10
2016-08,8
2016-09,8
2016-10,9
2016-11,9
2016-12,7
2017-01,9
2017-02,14
2017-03,10
2017-04,14
2017-05,15
2017-06,16
2017-07,17
2017-08,14
2017-09,9
2017-10,11
2017-11,15
2017-12,9
2018-01,10
2018-02,11
2018-03,12
2018-04,16
2018-05,18
2018-06,18
2018-07,19
2018-08,37
2018-09,30
2018-10,35
2018-11,15
2018-12,13
2019-01,18
2019-02,17
2019-03,25
2019-04,29
2019-05,35
2019-06,24
2019-07,22
2019-08,13
2019-09,11
2019-10,19
2019-11,18
2019-12,18
2020-01,43
2020-02,75
2020-03,47
2020-04,40
2020-05,31
2020-06,33
2020-07,71
2020-08,62
2020-09,92
2020-10,49
2020-11,50
2020-12,67
2021-01,60
2021-02,58
2021-03,64
2021-04,53
2021-05,42
2021-06,35
2021-07,32
2021-08,28
2021-09,24
2021-10,44
2021-11,58
2021-12,41
2022-01,47
2022-02,37
2022-03,42
2022-04,44
2022-05,45
2022-06,39
2022-07,36
2022-08,41
2022-09,30
2022-10,37
2022-11,34
2022-12,51
2023-01,54
2023-02,48
2023-03,37
2023-04,36
2023-05,31
2023-06,55
2023-07,46
2023-08,36
2023-09,34
2023-10,37
2023-11,35
2023-12,29
2024-01,39
2024-02,33
2024-03,34
2024-04,54
2024-05,29
2024-06,28
2024-07,51
2024-08,28
2024-09,26
2024-10,40
2024-11,52
2024-12,51
2025-01,44
2025-02,50
2025-03,100
2025-04,85
2025-05,44
