date,cleanText
2011-12-01,I made the volume on the Model S go to 11. Now I just need to work in a miniature Stonehenge...
2011-12-22,Model S options are out! Performance in red and black for me. I will deliver my car in June/July.
2011-12-31,Hacked my Tesla charge connector on a small island in the rain last night
2012-01-06,Model S Signature series sold out as of today Feb is huge month. Model X world premier and public reveal of our LA design studio on the 9th. Stay tuned for more details.
2012-01-11,"The exec conf room at Tesla used to be called Denali, but I decided to move a few letters around. Seemed more apt :)"
2012-01-12,"Kids these days are so grown up! RT ""Second-Graders Wow Audience With School Production Of Equus"" Model S Performance powertrain produced so much torque today that we broke the dyno. 4.4 sec 0-60 mph will not be a problem."
2012-01-13,"A Tesla Roadster just passed the 100,000 mile mark for the first time and still has over 200 miles of range."
2012-01-17,"That's not just paranoia (a healthy trait at times). Tesla really is under massive attack by short sellers Will communicate better in the future. Too many people want us to fail and are willing to twist any bit of news against Tesla. TSLA down ~$500M Friday, but back up ~$500M today. Sorry for the roller coaster."
2012-01-28,The Model X unveiling will be webcast live on at 8pm on Feb 9th. Most cars are pretty blah. This is not.
2012-02-02,The most interesting view of the Model X is really with the doors open
2012-02-07,"Yes, we will unveil a fully functional advanced prototype of the Model X -- almost identical to production."
2012-02-09,"Model X sketch showing just a bit more leg. Unveiling tonight... Btw, Foster the People is playing the Model X event tonight. Seemed like the right vibe."
2012-02-10,"Tesla Model X is 3rd most searched term on Google, right after purple squirrel. Damn you squirrel! Tesla Model X video"
2012-02-14,Model X review by Jim Motavalli. I think he likes the car.
2012-02-17,Important point highlighted by : an electric car in California produces only 1/4 CO2 of gasoline
2012-03-07,The President of Serbia came by our booth at the Geneva Motor Show and talked about Nikola Tesla
2012-03-28,"The Model S beta endurance car just passed 150,000 miles on a single battery pack!"
2012-04-05,"Wow, a Tesla owner in Europe just passed 200,000 km while racing his Roadster!"
2012-05-09,Model S exceeds 300 mile range target! Prize for the 1st person to do LA-SF nonstop (400 miles)
2012-05-10,"Meant to say: prizes for first 10 who do 400 miles in Tesla w/o recharging, not nonstop, which would require diapers :)"
2012-05-20,"Simulations show launch ok with bad valve. Still, better to stop &amp; fix. Recalling rockets after launch is not an option."
2012-05-22,Major Tesla milestone: All crash testing is complete for 5* (max) safety rating. Cars can now be built for sale to public!
2012-06-22,Model S review by Motor Trend About to deliver the first ten Model S cars from !
2012-07-01,"After 2008 meltdown, vacation for me just meant email with a view, but SpaceX &amp; Tesla are now strong enough that I can make it real (yay!!)"
2012-07-07,Now back to work. Intense months ahead as we ramp production of rockets and cars.
2012-07-12,"Going at full speed! MT “: Elon- you are my hero my friend.Please!Ramp up production on cars that use NO gas."""
2012-07-15,"""Most of us live in a semi-somnambulistic state &amp; the days fly by. The 2 exceptions are childhood and when we are in love."" - RG"
2012-07-27,"Yes, my absolute goal w Tesla has always been mass market electric cars. Will finally get there with Gen3 program."
2012-07-31,Goal for Model S is to show that electric is way way better than gas. Combine w solar power &amp; the future looks bright. Model S starts at $50k after federal rebate. Gen3 will be ~$30k. Need to optimize design and scale volume.
2012-08-01,"Would love to make a Tesla supertruck with crazy torque, dynamic air suspension and corners like its on rails. That'd be sweet..."
